date,new_cases,new_deaths
2020-05-31,546.0,59.0
2020-06-01,465.0,40.0
2020-06-02,645.0,42.0
2020-06-03,493.0,38.0
2020-06-04,539.0,64.0
2020-06-05,501.0,28.0
2020-06-06,546.0,32.0
2020-06-07,454.0,29.0
2020-06-08,394.0,33.0
2020-06-09,347.0,40.0
2020-06-10,415.0,40.0
2020-06-11,387.0,32.0
2020-06-12,436.0,51.0
2020-06-13,535.0,32.0
2020-06-14,385.0,27.0
2020-06-15,384.0,22.0
2020-06-16,331.0,19.0
2020-06-17,344.0,26.0
2020-06-18,327.0,28.0
2020-06-19,408.0,37.0
2020-06-20,382.0,9.0
2020-06-21,386.0,34.0
2020-06-22,298.0,43.0
2020-06-23,316.0,21.0
2020-06-24,286.0,21.0
2020-06-25,340.0,18.0
2020-06-26,370.0,37.0
2020-06-27,358.0,20.0
2020-06-28,324.0,27.0
2020-06-29,189.0,1.0
2020-06-30,174.0,625.0
2020-07-01,299.0,8.0
2020-07-02,424.0,19.0
2020-07-03,461.0,17.0
2020-07-04,367.0,20.0
2020-07-05,242.0,31.0
2020-07-06,245.0,11.0
2020-07-07,274.0,18.0
2020-07-08,288.0,6.0
2020-07-09,279.0,23.0
2020-07-10,355.0,20.0
2020-07-11,304.0,11.0
2020-07-12,343.0,5.0
2020-07-13,252.0,40.0
2020-07-14,316.0,13.0
2020-07-15,369.0,17.0
2020-07-16,383.0,17.0
2020-07-17,369.0,6.0
2020-07-18,385.0,11.0
2020-07-19,305.0,13.0
2020-07-20,284.0,10.0
2020-07-21,391.0,13.0
2020-07-22,351.0,4.0
2020-07-23,387.0,35.0
2020-07-24,365.0,2.0
2020-07-25,338.0,11.0
2020-07-26,225.0,9.0
2020-07-27,295.0,14.0
2020-07-28,199.0,7.0
2020-07-29,298.0,5.0
2020-07-30,314.0,14.0
2020-07-31,283.0,6.0
2020-08-01,313.0,5.0
2020-08-02,263.0,5.0
2020-08-03,238.0,9.0
2020-08-04,316.0,6.0
2020-08-05,304.0,7.0
2020-08-06,332.0,529.0
2020-08-07,342.0,4.0
2020-08-08,329.0,8.0
2020-08-09,246.0,5.0
2020-08-10,239.0,6.0
2020-08-11,274.0,6.0
2020-08-12,392.0,10.0
2020-08-13,437.0,8.0
2020-08-14,364.0,5.0
2020-08-15,386.0,6.0
2020-08-16,309.0,7.0
2020-08-17,237.0,6.0
2020-08-18,291.0,8.0
2020-08-19,268.0,1.0
2020-08-20,271.0,-4.0
2020-08-21,284.0,2.0
2020-08-22,265.0,5.0
2020-08-23,288.0,12.0
2020-08-24,210.0,4.0
2020-08-25,231.0,4.0
2020-08-26,262.0,3.0
2020-08-27,313.0,5.0
2020-08-28,269.0,6.0
2020-08-29,278.0,3.0
2020-08-30,292.0,6.0
2020-08-31,261.0,6.0
2020-09-01,308.0,8.0
2020-09-02,266.0,5.0
2020-09-03,303.0,2.0
2020-09-04,324.0,6.0
2020-09-05,277.0,5.0
2020-09-06,295.0,0.0
2020-09-07,208.0,15.0
2020-09-08,222.0,8.0
2020-09-09,210.0,-3.0
2020-09-10,335.0,0.0
2020-09-11,250.0,-2.0
2020-09-12,306.0,4.0
2020-09-13,244.0,0.0
2020-09-14,268.0,7.0
2020-09-15,307.0,8.0
2020-09-16,253.0,4.0
2020-09-17,330.0,5.0
2020-09-18,351.0,8.0
2020-09-19,489.0,-4.0
2020-09-20,401.0,6.0
2020-09-21,262.0,5.0
2020-09-22,348.0,-2.0
2020-09-23,281.0,0.0
2020-09-24,422.0,5.0
2020-09-25,372.0,7.0
2020-09-26,430.0,3.0
2020-09-27,384.0,6.0
2020-09-28,381.0,9.0
2020-09-29,522.0,4.0
2020-09-30,451.0,9.0
2020-10-01,534.0,6.0
2020-10-02,602.0,17.0
2020-10-03,709.0,-2.0
2020-10-04,536.0,8.0
2020-10-05,472.0,9.0
2020-10-06,568.0,5.0
2020-10-07,544.0,7.0
2020-10-08,695.0,1.0
2020-10-09,625.0,5.0
2020-10-10,576.0,3.0
2020-10-11,469.0,1.0
2020-10-12,396.0,7.0
2020-10-13,543.0,5.0
2020-10-14,467.0,10.0
2020-10-15,512.0,10.0
2020-10-16,656.0,0.0
2020-10-17,810.0,10.0
2020-10-18,612.0,10.0
2020-10-19,420.0,9.0
2020-10-20,436.0,0.0
2020-10-21,842.0,5.0
2020-10-22,531.0,6.0
2020-10-23,570.0,8.0
2020-10-24,752.0,0.0
2020-10-25,654.0,4.0
2020-10-26,425.0,2.0
2020-10-27,734.0,9.0
2020-10-28,835.0,2.0
2020-10-29,1058.0,9.0
2020-10-30,906.0,7.0
2020-10-31,702.0,5.0
2020-11-01,950.0,12.0
2020-11-02,640.0,4.0
2020-11-03,798.0,4.0
2020-11-04,795.0,13.0
2020-11-05,1072.0,13.0
2020-11-06,1202.0,7.0
2020-11-07,1165.0,6.0
2020-11-08,1393.0,14.0
2020-11-09,1161.0,11.0
2020-11-10,1207.0,2.0
2020-11-11,1732.0,9.0
2020-11-12,1663.0,3.0
2020-11-13,1826.0,9.0
2020-11-14,1800.0,10.0
2020-11-15,1452.0,6.0
2020-11-16,1293.0,12.0
2020-11-17,1940.0,10.0
2020-11-18,1735.0,3.0
2020-11-19,1839.0,18.0
2020-11-20,2030.0,21.0
2020-11-21,1948.0,14.0
2020-11-22,1925.0,4.0
2020-11-23,1787.0,12.0
2020-11-24,1725.0,2.0
2020-11-25,1918.0,10.0
2020-11-26,2336.0,11.0
2020-11-27,2561.0,14.0
2020-11-28,2098.0,5.0
2020-11-29,2303.0,8.0
2020-11-30,2501.0,6.0
2020-12-01,2577.0,13.0
2020-12-02,3200.0,10.0
2020-12-03,3305.0,8.0
2020-12-04,3600.0,18.0
2020-12-05,3227.0,23.0
2020-12-06,3135.0,19.0
2020-12-07,3842.0,22.0
2020-12-08,3145.0,29.0
2020-12-09,4079.0,-5.0
2020-12-10,3449.0,10.0
2020-12-11,3313.0,29.0
2020-12-12,3893.0,17.0
2020-12-13,3211.0,34.0
2020-12-14,2969.0,25.0
2020-12-15,3529.0,35.0
2020-12-16,2911.0,17.0
2020-12-17,3211.0,35.0
2020-12-18,4408.0,39.0
2020-12-19,3339.0,25.0
2020-12-20,2741.0,20.0
2020-12-21,3787.0,38.0
2020-12-22,4039.0,33.0
2020-12-23,4176.0,22.0
2020-12-24,5441.0,52.0
2020-12-25,4606.0,47.0
2020-12-26,4191.0,42.0
2020-12-27,3424.0,42.0
2020-12-28,3450.0,35.0
2020-12-29,5152.0,47.0
2020-12-30,4205.0,44.0
2020-12-31,4584.0,45.0
2021-01-01,5829.0,42.0
2021-01-02,6003.0,25.0
2021-01-03,4204.0,33.0
2021-01-04,3759.0,40.0
2021-01-05,5339.0,25.0
2021-01-06,4991.0,53.0
2021-01-07,6339.0,54.0
2021-01-08,7012.0,37.0
2021-01-09,6940.0,52.0
2021-01-10,6272.0,57.0
2021-01-11,5755.0,73.0
2021-01-12,5571.0,63.0
2021-01-13,5949.0,43.0
2021-01-14,5885.0,93.0
2021-01-15,7252.0,75.0
2021-01-16,6268.0,61.0
2021-01-17,5603.0,66.0
2021-01-18,6453.0,68.0
2021-01-19,5559.0,57.0
2021-01-20,4349.0,88.0
2021-01-21,5220.0,82.0
2021-01-22,6847.0,67.0
2021-01-23,5983.0,68.0
2021-01-24,5423.0,92.0
2021-01-25,5664.0,90.0
2021-01-26,5057.0,72.0
2021-01-27,4284.0,43.0
2021-01-28,6487.0,93.0
2021-01-29,6152.0,97.0
2021-01-30,6116.0,89.0
2021-01-31,5434.0,96.0
2021-02-01,4618.0,88.0
2021-02-02,3926.0,72.0
2021-02-03,3812.0,56.0
2021-02-04,2495.0,74.0
2021-02-05,3003.0,78.0
2021-02-06,5590.0,103.0
2021-02-07,5180.0,96.0
2021-02-08,5071.0,63.0
2021-02-09,4765.0,88.0
2021-02-10,2801.0,93.0
2021-02-11,5105.0,72.0
2021-02-12,4506.0,73.0
2021-02-13,4573.0,99.0
2021-02-14,4136.0,77.0
2021-02-15,3628.0,71.0
2021-02-16,3656.0,87.0
2021-02-17,2911.0,65.0
2021-02-18,6226.0,97.0
2021-02-19,4735.0,96.0
2021-02-20,4696.0,62.0
2021-02-21,3011.0,76.0
2021-02-22,3509.0,64.0
2021-02-23,3801.0,66.0
2021-02-24,3313.0,71.0
2021-02-25,4460.0,63.0
2021-02-26,4289.0,85.0
2021-02-27,4273.0,80.0
2021-02-28,4204.0,79.0
2021-03-01,3704.0,76.0
2021-03-02,3698.0,65.0
